label,C,E,filteredDmvId,pairStart,Dmod30,P29Survivors,S17Survivors,tail1P29,tail2P29,tail4P29,firstBothG,trueK,K13_430Miss,K13_431Miss,fullCoverageBeforeRescue,verdict,legacyDmvId
small,1009,2018,OPEN_AT_FIRST_SURVIVOR / D24 / P29_LOW / TAIL_WEAK / KLOW,OPEN_AT_FIRST_SURVIVOR,24,0,0,0,0,0,12,0.2508311568764653,false,false,false,RESCUED,OPEN_AT_G0 / D0 / P29_LOW / TAIL_WEAK / KLOW / 
small,1010,2020,19|P / D18 / P29_LOW / TAIL_WEAK / KLOW,19|P,18,0,2,0,0,0,39,0.8149678090423069,false,false,false,RESCUED,P|3 / D18 / P29_LOW / TAIL_WEAK / KLOW / 3|5;7|3
small,1011,2022,OPEN_AT_FIRST_SURVIVOR / D4 / P29_LOW / TAIL_WEAK / KLOW,OPEN_AT_FIRST_SURVIVOR,4,0,0,0,0,0,2,0.04178126612198536,false,false,false,RESCUED,3|3 / DOTHER / P29_LOW / TAIL_WEAK / KLOW / 3|3
small,1012,2024,OPEN_AT_FIRST_SURVIVOR / D12 / P29_LOW / TAIL_WEAK / KLOW,OPEN_AT_FIRST_SURVIVOR,12,0,0,0,0,0,21,0.4385779461790965,false,false,false,RESCUED,3|P / D12 / P29_LOW / TAIL_WEAK / KLOW / 5|3;3|P
small,1013,2026,19|P / D12 / P29_LOW / TAIL_WEAK / KLOW,19|P,12,0,1,0,0,0,36,0.7516333294512096,false,false,false,RESCUED,OPEN_AT_G0 / D0 / P29_LOW / TAIL_WEAK / KLOW / 
small,1014,2028,OPEN_AT_FIRST_SURVIVOR / D10 / P29_LOW / TAIL_WEAK / KLOW,OPEN_AT_FIRST_SURVIVOR,10,0,0,0,0,0,5,0.10436375758323416,false,false,false,RESCUED,P|5 / DOTHER / P29_LOW / TAIL_WEAK / KLOW / P|5;3|3
small,1015,2030,OPEN_AT_FIRST_SURVIVOR / D12 / P29_LOW / TAIL_WEAK / KLOW,OPEN_AT_FIRST_SURVIVOR,12,0,0,0,0,0,6,0.1252008470731825,false,false,false,RESCUED,5|5 / D12 / P29_LOW / TAIL_WEAK / KLOW / P|3;3|P
small,1016,2032,OPEN_AT_FIRST_SURVIVOR / D6 / P29_LOW / TAIL_WEAK / KLOW,OPEN_AT_FIRST_SURVIVOR,6,0,0,0,0,0,3,0.06258261768603875,false,false,false,RESCUED,5|3 / D6 / P29_LOW / TAIL_WEAK / KLOW / 5|3
small,1017,2034,OPEN_AT_FIRST_SURVIVOR / D8 / P29_LOW / TAIL_WEAK / KLOW,OPEN_AT_FIRST_SURVIVOR,8,0,0,0,0,0,4,0.08341978258264125,false,false,false,RESCUED,3|3 / DOTHER / P29_LOW / TAIL_WEAK / KLOW / 3|3;5|P
small,1018,2036,OPEN_AT_FIRST_SURVIVOR / D12 / P29_LOW / TAIL_WEAK / KLOW,OPEN_AT_FIRST_SURVIVOR,12,0,0,0,0,0,21,0.43782956859828825,false,false,false,RESCUED,3|P / D12 / P29_LOW / TAIL_WEAK / KLOW / 7|3;3|17
small,1019,2038,19|P / D24 / P29_LOW / TAIL_WEAK / KLOW,19|P,24,0,2,0,0,0,42,0.8754109069887438,false,false,false,RESCUED,OPEN_AT_G0 / D0 / P29_LOW / TAIL_WEAK / KLOW / 
small,1020,2040,OPEN_AT_FIRST_SURVIVOR / D2 / P29_LOW / TAIL_WEAK / KLOW,OPEN_AT_FIRST_SURVIVOR,2,0,0,0,0,0,1,0.020837214896305647,false,false,false,RESCUED,OPEN_AT_G0 / DOTHER / P29_LOW / TAIL_WEAK / KLOW / 
small,1021,2042,OPEN_AT_FIRST_SURVIVOR / D24 / P29_LOW / TAIL_WEAK / KLOW,OPEN_AT_FIRST_SURVIVOR,24,0,0,0,0,0,12,0.24997585494810737,false,false,false,RESCUED,OPEN_AT_G0 / D0 / P29_LOW / TAIL_WEAK / KLOW / 
small,1022,2044,OPEN_AT_FIRST_SURVIVOR / D18 / P29_LOW / TAIL_WEAK / KLOW,OPEN_AT_FIRST_SURVIVOR,18,0,0,0,0,0,9,0.18742892274981093,false,false,false,RESCUED,P|3 / D18 / P29_LOW / TAIL_WEAK / KLOW / 3|13;5|3
small,1023,2046,OPEN_AT_FIRST_SURVIVOR / D20 / P29_LOW / TAIL_WEAK / KLOW,OPEN_AT_FIRST_SURVIVOR,20,0,0,0,0,0,10,0.20819558722532835,false,false,false,RESCUED,3|3 / DOTHER / P29_LOW / TAIL_WEAK / KLOW / 3|3;5|P
small,1024,2048,OPEN_AT_FIRST_SURVIVOR / D0 / P29_LOW / TAIL_WEAK / KLOW,OPEN_AT_FIRST_SURVIVOR,0,0,0,0,0,0,15,0.3122053471508412,false,false,false,RESCUED,3|5 / D0 / P29_LOW / TAIL_WEAK / KLOW / P|3;3|17
small,1025,2050,OPEN_AT_FIRST_SURVIVOR / D12 / P29_LOW / TAIL_WEAK / KLOW,OPEN_AT_FIRST_SURVIVOR,12,0,0,0,0,0,6,0.1248469746226821,false,false,false,RESCUED,5|5 / D12 / P29_LOW / TAIL_WEAK / KLOW / 3|13;P|3
small,1026,2052,OPEN_AT_FIRST_SURVIVOR / D10 / P29_LOW / TAIL_WEAK / KLOW,OPEN_AT_FIRST_SURVIVOR,10,0,0,0,0,0,5,0.10400988291947062,false,false,false,RESCUED,5|13 / DOTHER / P29_LOW / TAIL_WEAK / KLOW / 5|13;3|3
small,1027,2054,OPEN_AT_FIRST_SURVIVOR / D12 / P29_LOW / TAIL_WEAK / KLOW,OPEN_AT_FIRST_SURVIVOR,12,0,0,0,0,0,6,0.12477679338392102,false,false,false,RESCUED,13|13 / D12 / P29_LOW / TAIL_WEAK / KLOW / 5|3;3|P
small,1028,2056,19|P / D0 / P29_LOW / TAIL_WEAK / KLOW,19|P,0,0,2,0,0,0,75,1.559272201828646,false,false,false,RESCUED,13|3 / D0 / P29_LOW / TAIL_WEAK / KLOW / 3|7;5|3
small,1029,2058,OPEN_AT_FIRST_SURVIVOR / D20 / P29_LOW / TAIL_WEAK / KLOW,OPEN_AT_FIRST_SURVIVOR,20,0,0,0,0,0,10,0.20784467945469962,false,false,false,RESCUED,3|3 / DOTHER / P29_LOW / TAIL_WEAK / KLOW / 3|3;P|17
small,1030,2060,OPEN_AT_FIRST_SURVIVOR / D18 / P29_LOW / TAIL_WEAK / KLOW,OPEN_AT_FIRST_SURVIVOR,18,0,0,0,0,0,9,0.18700783176937338,false,false,false,RESCUED,3|P / D18 / P29_LOW / TAIL_WEAK / KLOW / 5|3;3|17
small,1031,2062,OPEN_AT_FIRST_SURVIVOR / D6 / P29_LOW / TAIL_WEAK / KLOW,OPEN_AT_FIRST_SURVIVOR,6,0,0,0,0,0,18,0.3739110496491646,false,false,false,RESCUED,OPEN_AT_G0 / D0 / P29_LOW / TAIL_WEAK / KLOW / 
small,1032,2064,OPEN_AT_FIRST_SURVIVOR / D2 / P29_LOW / TAIL_WEAK / KLOW,OPEN_AT_FIRST_SURVIVOR,2,0,0,0,0,0,1,0.02076703227779617,false,false,false,RESCUED,OPEN_AT_G0 / DOTHER / P29_LOW / TAIL_WEAK / KLOW / 
small,1033,2066,OPEN_AT_FIRST_SURVIVOR / D12 / P29_LOW / TAIL_WEAK / KLOW,OPEN_AT_FIRST_SURVIVOR,12,0,0,0,0,0,36,0.7474045144881003,false,false,false,RESCUED,OPEN_AT_G0 / D0 / P29_LOW / TAIL_WEAK / KLOW / 
small,1034,2068,OPEN_AT_FIRST_SURVIVOR / D0 / P29_LOW / TAIL_WEAK / KLOW,OPEN_AT_FIRST_SURVIVOR,0,0,0,0,0,0,15,0.3113317316944223,false,false,false,RESCUED,P|3 / D0 / P29_LOW / TAIL_WEAK / KLOW / 3|5;P|3
small,1035,2070,OPEN_AT_FIRST_SURVIVOR / D8 / P29_LOW / TAIL_WEAK / KLOW,OPEN_AT_FIRST_SURVIVOR,8,0,0,0,0,0,4,0.08299867622716914,false,false,false,RESCUED,3|3 / DOTHER / P29_LOW / TAIL_WEAK / KLOW / 3|3;P|17
small,1036,2072,OPEN_AT_FIRST_SURVIVOR / D6 / P29_LOW / TAIL_WEAK / KLOW,OPEN_AT_FIRST_SURVIVOR,6,0,0,0,0,0,3,0.062231691977707324,false,false,false,RESCUED,3|17 / D6 / P29_LOW / TAIL_WEAK / KLOW / 3|17
small,1037,2074,OPEN_AT_FIRST_SURVIVOR / D18 / P29_LOW / TAIL_WEAK / KLOW,OPEN_AT_FIRST_SURVIVOR,18,0,0,0,0,0,24,0.49771520562900146,false,false,false,RESCUED,17|17 / D18 / P29_LOW / TAIL_WEAK / KLOW / 3|7;5|3
small,1038,2076,OPEN_AT_FIRST_SURVIVOR / D20 / P29_LOW / TAIL_WEAK / KLOW,OPEN_AT_FIRST_SURVIVOR,20,0,0,0,0,0,25,0.518309444092276,false,false,false,RESCUED,17|P / DOTHER / P29_LOW / TAIL_WEAK / KLOW / 3|3;5|P
small,1039,2078,OPEN_AT_FIRST_SURVIVOR / D0 / P29_LOW / TAIL_WEAK / KLOW,OPEN_AT_FIRST_SURVIVOR,0,0,0,0,0,0,30,0.6217988968318634,false,false,false,RESCUED,OPEN_AT_G0 / D0 / P29_LOW / TAIL_WEAK / KLOW / 
